Driver,DriverNumber,Team,LapNumber,Stint,TyreLife,Compound,LapTime,LapTime_s,TrackStatus,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,compound_order
VER,1,Red Bull Racing,1.0,1.0,1.0,HARD,0 days 00:01:27.020000,87.02,12,,,,0 days 00:00:38.394000,0 days 00:00:21.759000,170.0,178.0,253.0,258.0,2.0
VER,1,Red Bull Racing,2.0,1.0,2.0,HARD,0 days 00:01:46.318000,106.318,16,,,0 days 00:00:34.949000,0 days 00:00:45.145000,0 days 00:00:26.224000,83.0,167.0,229.0,254.0,2.0
VER,1,Red Bull Racing,3.0,1.0,3.0,HARD,0 days 00:01:48.815000,108.815,6,,,0 days 00:00:32.110000,0 days 00:00:47.430000,0 days 00:00:29.275000,159.0,100.0,226.0,257.0,2.0
VER,1,Red Bull Racing,4.0,1.0,4.0,HARD,0 days 00:01:40.290000,100.29,671,,,0 days 00:00:31.006000,0 days 00:00:47.889000,0 days 00:00:21.395000,136.0,170.0,262.0,253.0,2.0
VER,1,Red Bull Racing,5.0,1.0,5.0,HARD,0 days 00:01:20.800000,80.8,1,,,0 days 00:00:21.744000,0 days 00:00:37.485000,0 days 00:00:21.571000,177.0,173.0,254.0,262.0,2.0
VER,1,Red Bull Racing,6.0,1.0,6.0,HARD,0 days 00:01:20.011000,80.011,1,,,0 days 00:00:21.370000,0 days 00:00:37.325000,0 days 00:00:21.316000,182.0,181.0,254.0,265.0,2.0
VER,1,Red Bull Racing,7.0,1.0,7.0,HARD,0 days 00:01:18.968000,78.968,1,,,0 days 00:00:21.250000,0 days 00:00:37.105000,0 days 00:00:20.613000,184.0,188.0,255.0,258.0,2.0
VER,1,Red Bull Racing,8.0,1.0,8.0,HARD,0 days 00:01:17.714000,77.714,12,,,0 days 00:00:20.467000,0 days 00:00:36.796000,0 days 00:00:20.451000,195.0,191.0,256.0,263.0,2.0
VER,1,Red Bull Racing,9.0,1.0,9.0,HARD,0 days 00:01:21.205000,81.205,2,,,0 days 00:00:20.277000,0 days 00:00:39.989000,0 days 00:00:20.939000,199.0,179.0,266.0,255.0,2.0
VER,1,Red Bull Racing,10.0,1.0,10.0,HARD,0 days 00:01:19.169000,79.169,2,,,0 days 00:00:20.440000,0 days 00:00:38.145000,0 days 00:00:20.584000,195.0,184.0,266.0,263.0,2.0
VER,1,Red Bull Racing,11.0,1.0,11.0,HARD,0 days 00:01:17.481000,77.481,21,,,0 days 00:00:20.295000,0 days 00:00:36.676000,0 days 00:00:20.510000,200.0,188.0,265.0,276.0,2.0
VER,1,Red Bull Racing,12.0,1.0,12.0,HARD,0 days 00:01:18.128000,78.128,1,,,0 days 00:00:20.612000,0 days 00:00:37.001000,0 days 00:00:20.515000,179.0,188.0,257.0,265.0,2.0
VER,1,Red Bull Racing,13.0,1.0,13.0,HARD,0 days 00:01:17.122000,77.122,1,,,0 days 00:00:20.309000,0 days 00:00:36.424000,0 days 00:00:20.389000,193.0,191.0,257.0,266.0,2.0
VER,1,Red Bull Racing,14.0,1.0,14.0,HARD,0 days 00:01:16.810000,76.81,1,,,0 days 00:00:20.267000,0 days 00:00:36.267000,0 days 00:00:20.276000,203.0,184.0,256.0,272.0,2.0
VER,1,Red Bull Racing,15.0,1.0,15.0,HARD,0 days 00:01:16.380000,76.38,1,,,0 days 00:00:20.364000,0 days 00:00:35.859000,0 days 00:00:20.157000,198.0,193.0,255.0,272.0,2.0
VER,1,Red Bull Racing,16.0,1.0,16.0,HARD,0 days 00:01:15.392000,75.392,1,,,0 days 00:00:19.731000,0 days 00:00:35.563000,0 days 00:00:20.098000,205.0,193.0,256.0,275.0,2.0
VER,1,Red Bull Racing,17.0,1.0,17.0,HARD,0 days 00:01:15.131000,75.131,1,,,0 days 00:00:19.685000,0 days 00:00:35.563000,0 days 00:00:19.883000,201.0,194.0,257.0,276.0,2.0
VER,1,Red Bull Racing,18.0,1.0,18.0,HARD,0 days 00:01:15.035000,75.035,1,,,0 days 00:00:19.671000,0 days 00:00:35.457000,0 days 00:00:19.907000,202.0,196.0,257.0,277.0,2.0
VER,1,Red Bull Racing,19.0,1.0,19.0,HARD,0 days 00:01:15.413000,75.413,1,,,0 days 00:00:19.780000,0 days 00:00:35.664000,0 days 00:00:19.969000,199.0,196.0,257.0,278.0,2.0
VER,1,Red Bull Racing,20.0,1.0,20.0,HARD,0 days 00:01:15.233000,75.233,1,,,0 days 00:00:19.782000,0 days 00:00:35.584000,0 days 00:00:19.867000,202.0,195.0,257.0,278.0,2.0
VER,1,Red Bull Racing,21.0,1.0,21.0,HARD,0 days 00:01:15.248000,75.248,1,,,0 days 00:00:19.689000,0 days 00:00:35.577000,0 days 00:00:19.982000,206.0,195.0,257.0,277.0,2.0
VER,1,Red Bull Racing,22.0,1.0,22.0,HARD,0 days 00:01:15.291000,75.291,1,,,0 days 00:00:19.708000,0 days 00:00:35.680000,0 days 00:00:19.903000,204.0,195.0,257.0,278.0,2.0
VER,1,Red Bull Racing,23.0,1.0,23.0,HARD,0 days 00:01:15.254000,75.254,1,,,0 days 00:00:19.733000,0 days 00:00:35.652000,0 days 00:00:19.869000,205.0,195.0,258.0,278.0,2.0
VER,1,Red Bull Racing,24.0,1.0,24.0,HARD,0 days 00:01:15.181000,75.181,1,,,0 days 00:00:19.692000,0 days 00:00:35.626000,0 days 00:00:19.863000,206.0,194.0,258.0,279.0,2.0
